temperature,wind_speed,mean_sea_level_pressure,total_cloud_cover,mintemp,minwind,minpress,mincloud,maxtemp,maxwind,maxpress,maxcloud,monthdate
20.297190860215053,3.911935483870968,101625.84575268817,0.4703494623655914,10.39,0.15,100028.16,0.0,34.18,12.72,102575.62,1.0,2013-03
15.238069444444445,3.3446388888888885,101977.96693055556,0.6180555555555556,5.72,0.04,100498.81,0.0,25.87,9.43,103060.81,1.0,2013-04
12.458252688172044,3.975981182795699,102080.91369623657,0.626008064516129,4.68,0.18,100295.14,0.0,23.83,9.28,103148.95,1.0,2013-05
9.730902777777779,3.162763888888889,102150.96076388888,0.5869305555555555,1.19,0.17,100779.74,0.0,16.08,8.31,103207.32,1.0,2013-06
10.629301075268817,4.400846774193548,101627.03045698925,0.6503225806451612,2.01,0.1,96725.92,0.0,19.82,11.37,103272.15,1.0,2013-07
11.408521505376346,5.604086021505376,101280.28419354839,0.5974731182795698,5.09,0.08,99973.46,0.0,20.12,11.52,102398.57,1.0,2013-08
13.722805555555556,4.324194444444444,101307.2009861111,0.681875,2.85,0.03,99454.27,0.0,22.34,12.72,103223.14,1.0,2013-09
13.423521505376344,4.838494623655914,101489.25610215055,0.6012365591397849,6.03,0.33,99637.96,0.0,28.2,12.6,102590.65,1.0,2013-10
15.080277777777777,4.282694444444444,101521.06909722222,0.5963333333333334,7.64,0.16,100244.89,0.0,30.38,8.89,103033.28,1.0,2013-11
17.53505376344086,3.5923655913978494,101313.28180107527,0.6088844086021505,8.28,0.09,99925.31,0.0,35.2,10.77,102260.2,1.0,2013-12
20.743884408602153,4.091169354838709,101409.92169354839,0.4186693548387097,9.9,0.15,100139.26,0.0,39.02,11.48,102464.22,1.0,2014-01
20.246190476190478,3.6764136904761906,101308.7950892857,0.42946428571428574,11.33,0.05,99453.33,0.0,36.65,9.4,102506.98,1.0,2014-02
18.601989247311828,3.2812903225806456,101816.82346774192,0.5288575268817205,9.88,0.07,99757.73,0.0,30.83,9.27,102798.75,1.0,2014-03
15.492638888888889,3.6903888888888887,101784.46272222222,0.6439027777777778,6.01,0.09,100770.09,0.0,30.81,9.75,102574.63,1.0,2014-04
13.805887096774194,3.893360215053763,101883.31721774195,0.6615188172043011,3.48,0.13,99777.41,0.0,21.3,8.92,103169.1,1.0,2014-05
11.36561111111111,4.246916666666667,101650.02155555555,0.7128194444444444,6.05,0.39,96746.45,0.0,16.09,12.86,103264.09,1.0,2014-06
10.067016129032258,4.849368279569893,101675.45704301076,0.6687903225806452,2.84,0.16,96734.95,0.0,16.52,13.23,103233.69,1.0,2014-07
10.103951612903225,2.918548387096774,101832.10396505376,0.5904435483870968,0.86,0.14,96739.08,0.0,19.3,8.74,103272.51,1.0,2014-08
12.342402777777778,3.7381249999999997,101905.54127777778,0.5090555555555555,4.07,0.06,100213.66,0.0,24.9,11.49,103215.92,1.0,2014-09
14.74489247311828,4.00013440860215,101682.53250000002,0.5622177419354839,6.7,0.4,99661.43,0.0,28.97,10.58,103048.96,1.0,2014-10
16.364305555555553,3.8273194444444445,101556.98844444446,0.5907361111111111,6.43,0.12,100205.78,0.0,31.0,9.3,102621.21,1.0,2014-11
17.84366935483871,3.7191129032258066,101100.55912634407,0.5281720430107527,9.83,0.09,99159.43,0.0,29.43,11.57,102152.97,1.0,2014-12
19.654193548387095,4.168239247311828,101153.2157795699,0.561236559139785,10.6,0.13,99493.38,0.0,36.21,10.19,102081.19,1.0,2015-01
20.442276785714284,3.4129315476190474,101698.77952380953,0.5302380952380952,12.55,0.36,99937.01,0.0,33.34,7.55,102555.78,1.0,2015-02
